vendor,service_name,service_category,start_time,end_time,user_symptom,user_symptom_category,root_cause,root_cause_category,model,time_sec,tokens_used,cached_tokens,year
Azure,Cognitive Services,AI,2021-07-21T03:00:00Z,20210721T09:55:00,customers using Cognitive Services may have experienced difficulties connecting to resources. Impacted customers may have experienced timeouts or 401 authorization errors.,"ERROR,UNAVIL","a subset of cognitive services backend compute clusters were impacted during this incident, causing them to be unable to service customer requests. This issue was triggered by a pending (deployed, but awaiting reboot) OS security update which had introduced a networking change on the updated clusters.",DEPLOY,gpt-4o-mini,3.222,2705,2176,2021.0
Azure,Azure Resource Manager,MANAGEMENT,,20201019T22:20:00,"a subset of customers using resources that leverage Azure Resource Manager (ARM) may have received intermittent errors while accessing or performing service management operations - such as create, update, delete - for multiple resources from the Azure portal or when using CLI.",ERROR,"The issue was caused by a misconfiguration in the broad phase of a deployment for ARM services, which resulted in unanticipated utilization of a single partition of Cosmos DB.",CONFIG,gpt-4o-mini,2.955,2579,2304,2020.0
Azure,Azure Resource Manager,MANAGEMENT,,20240927T16:25:00,"impacted customers may have experienced issues attempting control plane operations including create, update and delete operations on resources in the Azure Gov cloud.","ERROR,UNAVIL",a backend Cosmos DB was misconfigured to block legitimate access from Azure Resource Manager (ARM).,CONFIG,gpt-4o-mini,3.224,3001,2816,2024.0
Azure,Azure SQL Database,DATABASE,,20200701T11:15:00,a subset of customers using Azure SQL Database may have experienced service connection failures or possible timeouts.,"ERROR,UNAVIL","one of the SQL Gateway clusters became unhealthy, having an intermittent impact on login availability. A specific network traffic pattern combined with a networking stack configuration on the SQL Gateway instances triggered an imbalance on the CPU processing of new connection requests.",CONFIG,gpt-4o-mini,2.818,2556,2304,2020.0
Azure,Azure Cosmos DB,DATABASE,,20220907T17:21:00,Connections to Cosmos DB accounts in this region may have resulted in an error or timeout.,"ERROR,DELAY","Our frontend load balancing procedure had a regression that did not factor in the effect of a reduction in available cluster capacity, due to ongoing maintenance.",MAINTAIN,gpt-4o-mini,2.816,2985,2816,2022.0
Azure,Cognitive Services,AI,,20210721T13:55:00,customers using Cognitive Services may have experienced difficulties connecting to resources. Impacted customers may have experienced timeouts or 401 authorization errors.,"ERROR,UNAVIL","a pending (deployed, but awaiting reboot) OS security update which had introduced a networking change on the updated clusters. The networking update unintentionally caused a networking state which was not supported, and thus when the update was staged, the machines lost network connectivity and could no longer handle requests.",DEPLOY,gpt-4o-mini,3.811,2704,2176,2021.0
Azure,Azure,COMPUTE,,20230903T20:00:00,"customers may have experienced issues accessing or using Azure, Microsoft 365 and Power Platform services.","UNAVIL,DELAY",A utility voltage sag was caused by a lightning strike on electrical infrastructure approximately 18 miles from the impacted Availability Zone of the Australia East region.,EXTERNAL,gpt-4o-mini,3.021,6763,6528,2023.0
Azure,Azure Storage,STORAGE,,20240719T02:55:00,"customers may have experienced issues with multiple Azure services in the Central US region, due to an Azure Storage availability event that was resolved by 02:55 UTC on 19 July 2024.","UNAVIL,ERROR","Due to routine changes to the VM host fleet, an update to the allow list was being generated for publication to Storage scale units. The source information for the list is read from a set of infrastructure file servers and is structured as one file per datacenter. Due to recent changes in the network configuration of those file servers, some became inaccessible from the server which was generating the allow list.",CONFIG,gpt-4o-mini,3.819,7259,6144,2024.0
Azure,Azure SQL Database,DATABASE,,20200125T08:15:00,"customers in the Azure Government regions may have experienced failures when trying to access Azure SQL Database and Data Warehouse resources or dependent services. Specifically, new connections to databases in these regions may have resulted in an error or timeout, but already established pooled connections continued to work.","ERROR,UNAVIL",a recent maintenance activity did not complete successfully which in-turn caused the gateways to hold an incorrect certificate configuration that effectively blocked connections to the associated SQL resources.,MAINTAIN,gpt-4o-mini,3.163,2492,2304,2020.0
Azure,Azure Cosmos DB,DATABASE,,20221026T06:00:00,Connections to Azure Cosmos DB accounts in this region may have resulted in an error or timeout.,"ERROR,DELAY","A configuration change was applied to the Azure Load Balancer. This change resulted in intermittent network connectivity issues, which created an increase in exceptions, and even larger time spent locking in the kernel.",CONFIG,gpt-4o-mini,2.756,3250,1024,2022.0
Azure,Azure Cosmos DB,DATABASE,,20220105T07:41:00,"customers with Azure Cosmos DB accounts in East US may have experienced connectivity and service availability errors while accessing their Cosmos DB databases. One Cosmos DB cluster in the East US region was unavailable during this time, so both new and existing connections to databases in this subscription in this region may have resulted in errors or timeouts.","ERROR,UNAVIL","During this incident, the timer callback on one of the nodes was fired multiple times at a frequency higher than intended. This resulted in the node's neighbors getting incorrectly reported as unavailable. By design, the Arbitrators trusted this information as they did not receive any healthy uptime notification within the stipulated time frame. This continued until the quorum of nodes was lost, and the cluster went down eventually.",CONFIG,gpt-4o-mini,3.915,2847,1024,2022.0
